id,volume,year,issue,journal_name
1,88,2020,3,"Franklin, Ramirez and Lindsey"
2,21,2020,4,"Franklin, Ramirez and Lindsey"
3,32,2021,2,"Franklin, Ramirez and Lindsey"
4,27,2020,3,"Franklin, Ramirez and Lindsey"
5,32,2018,3,"Franklin, Ramirez and Lindsey"
6,79,2018,3,"Franklin, Ramirez and Lindsey"
7,11,2022,4,"Franklin, Ramirez and Lindsey"
8,19,2022,4,"Franklin, Ramirez and Lindsey"
9,41,2018,3,"Franklin, Ramirez and Lindsey"
10,4,2018,2,"Franklin, Ramirez and Lindsey"
11,22,2021,3,"Franklin, Ramirez and Lindsey"
12,96,2020,4,"Franklin, Ramirez and Lindsey"
13,5,2019,1,"Franklin, Ramirez and Lindsey"
14,72,2022,1,"Franklin, Ramirez and Lindsey"
15,53,2020,1,"Franklin, Ramirez and Lindsey"
16,18,2024,2,"Franklin, Ramirez and Lindsey"
17,36,2020,2,"Franklin, Ramirez and Lindsey"
18,31,2021,4,"Franklin, Ramirez and Lindsey"
19,47,2023,2,"Franklin, Ramirez and Lindsey"
20,3,2021,4,"Franklin, Ramirez and Lindsey"
21,98,2023,2,"Franklin, Ramirez and Lindsey"
22,26,2021,3,"Franklin, Ramirez and Lindsey"
23,31,2019,1,"Franklin, Ramirez and Lindsey"
24,64,2018,3,"Franklin, Ramirez and Lindsey"
25,14,2023,1,"Franklin, Ramirez and Lindsey"
26,95,2018,2,"Franklin, Ramirez and Lindsey"
27,67,2020,4,"Franklin, Ramirez and Lindsey"
28,76,2021,2,"Franklin, Ramirez and Lindsey"
29,18,2022,3,"Franklin, Ramirez and Lindsey"
30,35,2018,4,"Franklin, Ramirez and Lindsey"
31,21,2021,3,"Franklin, Ramirez and Lindsey"
32,14,2020,3,"Franklin, Ramirez and Lindsey"
33,54,2018,3,"Franklin, Ramirez and Lindsey"
34,16,2024,2,"Franklin, Ramirez and Lindsey"
35,70,2023,1,"Franklin, Ramirez and Lindsey"
36,64,2022,4,"Franklin, Ramirez and Lindsey"
37,34,2021,3,"Franklin, Ramirez and Lindsey"
38,29,2022,1,"Franklin, Ramirez and Lindsey"
39,46,2022,2,"Franklin, Ramirez and Lindsey"
40,38,2018,4,"Franklin, Ramirez and Lindsey"
41,95,2024,3,"Franklin, Ramirez and Lindsey"
42,39,2018,2,"Franklin, Ramirez and Lindsey"
43,30,2021,3,"Franklin, Ramirez and Lindsey"
44,15,2019,1,"Franklin, Ramirez and Lindsey"
45,87,2020,1,"Franklin, Ramirez and Lindsey"
46,77,2022,2,"Franklin, Ramirez and Lindsey"
47,8,2021,4,"Franklin, Ramirez and Lindsey"
48,86,2020,3,"Franklin, Ramirez and Lindsey"
49,47,2023,2,"Franklin, Ramirez and Lindsey"
50,31,2018,4,"Franklin, Ramirez and Lindsey"
51,40,2023,4,"Franklin, Ramirez and Lindsey"
52,37,2021,1,"Franklin, Ramirez and Lindsey"
53,65,2022,2,"Franklin, Ramirez and Lindsey"
54,73,2018,4,"Franklin, Ramirez and Lindsey"
55,25,2022,1,"Franklin, Ramirez and Lindsey"
56,93,2021,4,"Franklin, Ramirez and Lindsey"
57,91,2019,4,"Franklin, Ramirez and Lindsey"
58,49,2022,1,"Franklin, Ramirez and Lindsey"
59,29,2019,1,"Franklin, Ramirez and Lindsey"
60,54,2021,1,"Franklin, Ramirez and Lindsey"
61,99,2020,2,"Franklin, Ramirez and Lindsey"
62,80,2019,1,"Franklin, Ramirez and Lindsey"
63,96,2021,1,"Franklin, Ramirez and Lindsey"
64,97,2018,4,"Franklin, Ramirez and Lindsey"
65,69,2024,3,"Franklin, Ramirez and Lindsey"
66,9,2022,2,"Franklin, Ramirez and Lindsey"
67,19,2021,1,"Franklin, Ramirez and Lindsey"
68,50,2024,2,"Franklin, Ramirez and Lindsey"
69,59,2023,1,"Franklin, Ramirez and Lindsey"
70,36,2022,3,"Franklin, Ramirez and Lindsey"
71,86,2020,4,"Franklin, Ramirez and Lindsey"
72,24,2018,1,"Franklin, Ramirez and Lindsey"
73,18,2019,1,"Franklin, Ramirez and Lindsey"
74,6,2021,1,"Franklin, Ramirez and Lindsey"
75,44,2022,3,"Franklin, Ramirez and Lindsey"
76,81,2023,1,"Franklin, Ramirez and Lindsey"
77,91,2022,2,"Franklin, Ramirez and Lindsey"
78,42,2019,2,"Franklin, Ramirez and Lindsey"
79,33,2020,1,"Franklin, Ramirez and Lindsey"
80,55,2023,1,"Franklin, Ramirez and Lindsey"
81,90,2024,4,"Franklin, Ramirez and Lindsey"
82,25,2019,2,"Franklin, Ramirez and Lindsey"
83,18,2022,1,"Franklin, Ramirez and Lindsey"
84,95,2023,4,"Franklin, Ramirez and Lindsey"
85,92,2021,1,"Franklin, Ramirez and Lindsey"
86,68,2021,1,"Franklin, Ramirez and Lindsey"
87,91,2024,2,Hill-Flowers
88,45,2019,4,Hill-Flowers
89,81,2024,1,Hill-Flowers
90,26,2023,2,Hill-Flowers
91,5,2023,1,Hill-Flowers
92,68,2024,2,Hill-Flowers
93,69,2021,4,Hill-Flowers
94,27,2020,3,Hill-Flowers
