paper_id,proceeding_edition_id,journal_volume_id,date_accepted,pages
135,7,,2024-12-05,6-17
139,,20,2022-11-23,1-20
3,,1,2024-07-30,5-19
109,,2,2025-04-20,4-11
147,3,,2022-09-16,7-14
38,12,,2022-09-25,2-18
96,,3,2023-09-06,9-15
77,6,,2024-01-29,7-19
57,11,,2022-09-07,3-11
69,4,,2024-01-01,5-20
77,,9,2025-01-23,1-13
121,17,,2022-08-03,9-13
91,16,,2025-01-02,3-12
18,6,,2022-07-25,10-12
130,,18,2024-05-07,10-16
49,16,,2025-01-04,3-11
126,,8,2023-06-09,6-18
23,,6,2024-02-29,10-11
88,,2,2022-08-02,8-15
10,,11,2023-12-05,10-19
125,,20,2024-07-11,5-16
37,,3,2023-07-27,10-14
48,1,,2023-10-17,1-15
107,,3,2024-06-02,6-16
60,,11,2023-01-22,4-11
44,16,,2024-12-20,3-20
91,9,,2023-08-10,8-20
54,13,,2023-10-29,3-18
125,15,,2023-12-17,3-11
124,3,,2024-01-23,10-14
12,,1,2022-08-26,7-15
110,11,,2022-09-06,2-13
144,11,,2022-06-15,9-11
90,,7,2024-07-07,6-20
79,,7,2022-06-19,4-14
115,,14,2024-09-06,2-12
54,,18,2024-12-15,1-17
63,,16,2023-11-27,5-17
144,9,,2023-03-12,1-15
69,,13,2023-03-25,5-17
13,20,,2023-05-23,8-19
91,2,,2023-05-25,7-16
133,19,,2024-12-16,4-19
107,2,,2023-11-20,2-17
70,,17,2023-11-05,6-19
116,6,,2024-10-24,8-20
120,,11,2023-09-03,1-20
53,11,,2023-02-24,1-12
129,3,,2023-11-18,10-15
74,,5,2025-02-23,1-13
42,,20,2022-08-21,7-18
81,7,,2023-10-22,8-19
12,1,,2024-04-30,8-14
149,,15,2023-11-29,8-19
138,9,,2023-12-27,1-17
150,,14,2023-11-01,5-13
36,18,,2024-11-04,5-19
140,,4,2023-12-26,1-19
41,6,,2024-03-18,5-11
43,16,,2025-04-20,3-13
53,,5,2023-10-09,10-12
37,17,,2023-02-08,7-15
107,,19,2024-01-14,6-14
133,,18,2023-06-16,4-17
31,,7,2024-09-20,4-17
107,,12,2024-12-18,6-17
45,,13,2023-06-14,3-18
105,20,,2023-09-01,4-11
92,,8,2022-11-23,7-18
24,15,,2023-12-30,3-19
132,,11,2024-11-09,8-11
131,,16,2023-03-19,8-17
17,13,,2024-04-29,9-15
109,18,,2024-01-10,8-11
54,,8,2022-07-30,9-14
108,,1,2024-08-21,5-16
66,13,,2023-03-05,4-16
57,4,,2023-03-12,6-15
142,,6,2023-03-19,4-11
84,,13,2023-07-14,5-20
146,1,,2024-10-30,2-13
70,3,,2024-02-07,2-18
128,,2,2024-01-24,7-20
27,3,,2023-08-07,6-13
146,,14,2022-08-30,7-19
104,13,,2022-07-18,10-12
115,19,,2022-12-14,3-15
97,,11,2023-12-26,5-16
16,,20,2024-12-22,10-19
52,,19,2024-05-14,4-12
94,10,,2023-03-14,1-11
118,,4,2023-12-11,3-17
87,8,,2022-08-17,3-15
52,,9,2024-08-23,1-12
60,7,,2023-01-03,10-17
65,,1,2024-03-23,4-20
41,,9,2022-09-27,9-16
27,,3,2024-03-14,1-12
128,1,,2024-11-11,6-20
78,,9,2024-11-17,10-11
28,,20,2024-05-15,6-14
80,,16,2024-07-14,9-13
94,,7,2024-03-19,1-13
110,4,,2023-01-03,7-18
146,,13,2024-12-29,5-15
85,18,,2023-02-27,8-16
15,,11,2024-03-04,4-20
55,,6,2022-09-19,3-13
134,2,,2024-08-26,10-14
134,,14,2024-04-10,2-17
74,,17,2023-11-14,9-20
52,4,,2022-09-07,1-18
81,2,,2022-10-10,5-16
77,6,,2024-11-02,9-11
77,,4,2023-01-26,10-11
83,17,,2024-07-05,1-15
53,,20,2023-12-04,3-15
25,,3,2023-09-11,8-14
108,,17,2024-10-04,10-14
61,12,,2023-01-18,9-16
4,19,,2024-03-18,2-13
34,5,,2022-06-24,4-14
88,,14,2023-02-08,9-13
7,,6,2023-01-19,8-11
138,,6,2022-12-24,6-12
123,,15,2024-08-29,5-17
60,15,,2025-04-18,4-20
145,,16,2024-03-04,6-18
20,17,,2023-04-08,6-16
112,9,,2022-06-15,10-20
16,8,,2023-10-03,8-14
138,1,,2024-06-10,1-19
22,19,,2023-11-14,1-16
92,,18,2023-10-24,10-11
105,,7,2024-10-10,10-13
38,,6,2022-12-23,6-14
99,,2,2024-07-31,3-11
51,4,,2023-01-10,6-11
68,,3,2024-01-18,10-18
129,5,,2024-06-12,9-12
119,,11,2024-08-04,6-14
22,,8,2024-03-27,6-18
15,13,,2023-01-28,8-16
8,12,,2022-11-28,4-13
80,,7,2022-08-15,10-13
29,,3,2023-11-14,4-13
128,,20,2022-07-16,3-13
70,,1,2025-03-14,4-17
35,,9,2023-03-19,1-14
10,,8,2024-05-27,6-13
